pair_id,state,feature_key,feature,screen_key,screen_model,width_cm,height_cm,diagonal_in,screen_area_cm2,logical_units_per_cm,canvas_width,canvas_height,tree_size,tree_path,actor,task_index,target_id,secondary_id,drag_source_id,drag_target_id,resource_nodes,canvas_cards,decorators,graph_canvas_width,graph_canvas_height,operation_zoom,cards_in_viewport,cards_fully_in_viewport,card_visible_area_px2,card_area_px2,overlap_pairs,overlap_area_px2,information_fields,hierarchy_violations,resource_positions_unchanged,topology_unchanged,execution_order_unchanged,smart_overlap_pairs,smart_overlap_area_px2,smart_other_cards_moved,smart_max_other_move_px,smart_far_cards_moved,smart_solver_active,smart_resource_positions_unchanged,adaptive_detail_level,adaptive_compact,adaptive_card_area_px2,adaptive_cards_in_viewport,adaptive_cards_fully_in_viewport,adaptive_card_visible_area_px2,adaptive_information_fields,adaptive_overlap_pairs,adaptive_overlap_area_px2,adaptive_hierarchy_violations,overlay_from_id,overlay_to_id,overlay_blocker_id,overlay_crossing_length_px,overlay_background_alpha,overlay_revealed_edge_weighted_px,overlay_text_mask_count,overlay_routes_unchanged,related_selected_count,related_expected_count,related_unrelated_count,related_correctly_classified,related_correctly_dimmed,related_mean_alpha,related_unrelated_mean_alpha,related_salience_ratio,related_full_bright_in_view,fisheye_controlled_prerequisite,fisheye_target_width_px,fisheye_baseline_width_px,fisheye_target_fields,fisheye_magnified_cards,fisheye_nonfocus_magnified_cards,fisheye_far_mean_alpha,fisheye_far_mean_scale,fisheye_reflow_cards,fisheye_layout_cards,fisheye_protected_overlap_pairs,fisheye_protected_overlap_area_px2,fisheye_stationary_focus_id,engine,renderer,gpu
large_31_55|031|t1|translucent_cards,on,translucent_cards,Readable Edge Overlay,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,2118.0,1237.0,0.75,13,11,505601.26171875,1145529.0,0,0.0,120,1,true,true,true,,,,,,,,,,,,,,,,,,3,31,20,199.741784851258,0.72,55.9276997583521,210,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t1|breadcrumb,off,breadcrumb,Related Node Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,2118.0,1237.0,0.75,14,14,557093.25,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,13,30,0,1.0,1.0,1.0,14,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t1|breadcrumb,on,breadcrumb,Related Node Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,2118.0,1237.0,0.75,14,14,557093.25,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,13,17,13,1.0,0.18000000715256,5.55555533479762,9,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t1|fisheye,off,fisheye,Fisheye Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,2118.0,1237.0,0.75,14,14,435609.5625,903585.375,0,0.0,89,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,199.5,199.5,3,0,0,1.0,1.0,0,0,0,0.0,-1,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t1|fisheye,on,fisheye,Fisheye Focus,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,1,8,15,5,6,31,30,1,2118.0,1237.0,0.75,14,14,358724.25,716567.0625,0,0.0,90,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,234.0,199.5,4,1,0,0.12,0.68,0,3,0,0.0,8,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|auto_spacing,off,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,18,18,704446.3125,1145529.0,1,35147.25,120,0,true,true,true,1,35147.25,0,0.0,0,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|auto_spacing,on,auto_spacing,Smart Drag Reflow,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,18,18,704446.30078125,1145529.0,0,0.0,120,0,true,true,true,0,0.0,3,208.537490844727,0,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|semantic_zoom,off,semantic_zoom,Adaptive Zoom Detail,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,15,15,572465.25,1145529.0,0,0.0,120,0,true,true,true,,,,,,,,2,false,1145529.0,15,15,572465.25,120,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|semantic_zoom,on,semantic_zoom,Adaptive Zoom Detail,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,15,15,446181.75,903585.375,0,0.0,89,0,true,true,true,,,,,,,,1,false,903585.375,15,15,446181.75,89,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
large_31_55|031|t2|translucent_cards,off,translucent_cards,Readable Edge Overlay,large_31_55,U32G3X,70.0,39.0,31.5464,2730.0,35.0,2450,1365,31,res://behavior_trees/arena_scout_31.tres,Scout,2,16,20,9,10,31,30,1,2118.0,1237.0,0.75,8,8,320994.345214844,1145529.0,2,11990.25,120,1,true,true,true,,,,,,,,,,,,,,,,,,29,30,27,83.25,1.0,0.0,0,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
