device_key,model,diagonal_in,screen_area_cm2,tree_size,condition,n,rendered_cards,context_reduction_percent,cards_before_fit,coverage_before_fit_percent,cards_after_fit,coverage_after_fit_percent,fit_zoom,graph_to_screen_area_ratio,card_area_cm2,card_area_reduction_percent,dimmed_cards,target_in_viewport,target_center_error_ratio,overlap_max,min_parent_child_gap_px,median_interaction_ms
SKG27A8_UID513,H27T22S,26.959162702,1980.0,241,Baseline,3,202,0.0,0,0.0,78,38.6138613861386,0.10000000149012,43.9648484848485,11564.3771428571,0.0,0,false,12.5814552927003,0,60.0,604.268
SKG27A8_UID513,H27T22S,26.959162702,1980.0,241,Compact Cards,3,202,0.0,0,0.0,80,39.6039603960396,0.10000000149012,38.161905586477,4491.36326530612,61.1620824033722,0,false,12.5628558620615,0,163.0,197.51
SKG27A8_UID513,H27T22S,26.959162702,1980.0,241,Optimized Overview,3,202,0.0,1,0.4950495049505,80,39.6039603960396,0.10000000149012,36.7750298907442,1122.84081632653,90.290520600843,0,false,6.28142793103077,0,242.5,296.109
SKG27A8_UID513,H27T22S,26.959162702,1980.0,241,Optimized Search,3,202,0.0,17,8.41584158415842,80,39.6039603960396,0.10000000149012,36.7750298907442,1122.84081632653,90.290520600843,201,true,0.00259029426232,0,242.5,323.174
SKG27A8_UID513,H27T22S,26.959162702,1980.0,241,Subtree Focus,3,17,91.5841584158416,0,0.0,15,88.2352941176471,0.10000000149012,23.0216619511441,385.885714285714,96.6631517675463,0,false,-1.0,0,163.0,230.413
SKG27A8_UID513,H27T22S,26.959162702,1980.0,241,Context Collapse,3,14,93.0693069306931,0,0.0,9,64.2857142857143,0.10000000149012,28.7637439703154,330.715102040816,97.1402255568508,0,false,-1.0,0,163.0,176.395
SKG27A8_UID513,H27T22S,26.959162702,1980.0,364,Baseline,3,305,0.0,0,0.0,78,25.5737704918033,0.10000000149012,69.5610991548134,17461.76,0.0,0,false,29.3353311427535,0,60.0,1081.357
SKG27A8_UID513,H27T22S,26.959162702,1980.0,364,Compact Cards,3,305,0.0,0,0.0,80,26.2295081967213,0.10000000149012,57.8668035456607,6794.7012244898,61.0881078167963,0,false,29.3183882284231,0,163.0,336.607
SKG27A8_UID513,H27T22S,26.959162702,1980.0,364,Optimized Overview,3,305,0.0,1,0.32786885245902,80,26.2295081967213,0.10000000149012,55.8087033601319,1698.67530612245,90.2720269541991,0,false,14.6591941142116,0,242.5,538.936
SKG27A8_UID513,H27T22S,26.959162702,1980.0,364,Optimized Search,3,305,0.0,15,4.91803278688525,80,26.2295081967213,0.10000000149012,55.8087033601319,1698.67530612245,90.2720269541991,304,true,0.00259029426232,0,242.5,615.708
SKG27A8_UID513,H27T22S,26.959162702,1980.0,364,Subtree Focus,3,43,85.9016393442623,0,0.0,41,95.3488372093023,0.10000000149012,32.4725165429808,962.218775510204,94.4895659113961,0,false,-1.0,0,163.0,862.861
SKG27A8_UID513,H27T22S,26.959162702,1980.0,364,Context Collapse,3,11,96.3934426229508,0,0.0,6,54.5454545454545,0.10000000149012,35.6837554112554,259.251428571429,98.5153190252791,0,false,-1.0,0,163.0,197.661
