device_key,model,diagonal_in,screen_area_cm2,canvas,tree_size,baseline_cards_after_fit,baseline_coverage_after_fit_percent,baseline_fit_zoom,baseline_graph_to_screen_area_ratio,overview_cards_after_fit,overview_coverage_after_fit_percent,overview_fit_zoom,compact_area_reduction_percent,overview_area_reduction_percent,search_target_in_viewport,search_center_error_percent_diagonal,focus_context_reduction_percent,collapse_context_reduction_percent,max_overlap
BOE0CD1_UID512,BOE0CD1,15.9437,748,1190x770,31,26,100.0,0.1402812898159,9.63574375204627,26,100.0,0.14176385104656,61.3492465840608,90.3373116460152,true,0.49979605141600003,76.9230769230769,69.2307692307692,0
BOE0CD1_UID512,BOE0CD1,15.9437,748,1190x770,61,39,76.4705882352941,0.10000000149012,22.7318825712103,39,76.4705882352941,0.10000000149012,61.3032394906134,90.3258098726534,true,0.49979605141600003,86.2745098039216,78.4313725490196,0
BOE0CD1_UID512,BOE0CD1,15.9437,748,1190x770,121,37,36.6336633663366,0.10000000149012,47.566235948925,37,36.6336633663366,0.10000000149012,61.3025712394371,90.3256428098593,true,0.49979605141600003,87.1287128712871,89.1089108910891,0
BOE0CD1_UID512,BOE0CD1,15.9437,748,1190x770,241,37,18.3168316831683,0.10000000149012,116.377540106952,37,18.3168316831683,0.10000000149012,61.1620824033722,90.290520600843,true,0.49979605141600003,91.5841584158416,93.0693069306931,0
BOE0CD1_UID512,BOE0CD1,15.9437,748,1190x770,364,37,12.1311475409836,0.10000000149012,184.132321292153,37,12.1311475409836,0.10000000149012,61.0881078167963,90.2720269541991,true,0.49979605141600003,85.9016393442623,96.3934426229508,0
SKG27A8_UID513,H27T22S,26.9592,1980,2100x1155,31,26,100.0,0.30436351895332,3.64016986188415,26,100.0,0.30758017301559,61.3492465840608,90.3373116460152,true,0.259029426232,76.9230769230769,69.2307692307692,0
SKG27A8_UID513,H27T22S,26.9592,1980,2100x1155,61,51,100.0,0.15592093765736,8.58760008245723,51,100.0,0.15676076710224,61.3032394906134,90.3258098726534,true,0.259029426232,86.2745098039216,78.4313725490196,0
SKG27A8_UID513,H27T22S,26.9592,1980,2100x1155,121,79,78.2178217821782,0.10000000149012,17.9694669140383,81,80.1980198019802,0.10000000149012,61.3025712394371,90.3256428098593,true,0.259029426232,87.1287128712871,89.1089108910891,0
SKG27A8_UID513,H27T22S,26.9592,1980,2100x1155,241,78,38.6138613861386,0.10000000149012,43.9648484848485,80,39.6039603960396,0.10000000149012,61.1620824033722,90.290520600843,true,0.259029426232,91.5841584158416,93.0693069306931,0
SKG27A8_UID513,H27T22S,26.9592,1980,2100x1155,364,78,25.5737704918033,0.10000000149012,69.5610991548134,80,26.2295081967213,0.10000000149012,61.0881078167963,90.2720269541991,true,0.259029426232,85.9016393442623,96.3934426229508,0
AOCB319_UID4352,U32G3X,31.5477,2730,2450x1365,31,26,100.0,0.36747205257416,2.64012319653136,26,100.0,0.37135568261147,61.3492465840608,90.3373116460152,true,0.215622115024,76.9230769230769,69.2307692307692,0
AOCB319_UID4352,U32G3X,31.5477,2730,2450x1365,61,51,100.0,0.18825051188469,6.22836929057337,51,100.0,0.18926449120045,61.3032394906134,90.3258098726534,true,0.215622115024,86.2745098039216,78.4313725490196,0
AOCB319_UID4352,U32G3X,31.5477,2730,2450x1365,121,96,95.049504950495,0.10000000149012,13.0328001794124,96,95.049504950495,0.10000000149012,61.3025712394371,90.3256428098593,true,0.215622115024,87.1287128712871,89.1089108910891,0
AOCB319_UID4352,U32G3X,31.5477,2730,2450x1365,241,94,46.5346534653465,0.10000000149012,31.8865934065934,94,46.5346534653465,0.10000000149012,61.1620824033722,90.290520600843,true,0.215622115024,91.5841584158416,93.0693069306931,0
AOCB319_UID4352,U32G3X,31.5477,2730,2450x1365,364,94,30.8196721311475,0.10000000149012,50.4509070793153,94,30.8196721311475,0.10000000149012,61.0881078167963,90.2720269541991,true,0.215622115024,85.9016393442623,96.3934426229508,0
