session,device_key,gdi_name,manufacturer,model,serial,width_cm,height_cm,diagonal_in,screen_area_cm2,logical_units_per_cm,normalized_canvas_width,normalized_canvas_height,godot_screen_index,trial,size_sequence_position,condition_sequence_position,tree_size,condition,resource_nodes,rendered_cards,decorators,context_retention_ratio,cards_in_viewport_before_fit,viewport_coverage_before_fit_ratio,cards_in_viewport_after_fit,fit_viewport_coverage_ratio,fit_zoom,bounds_area_cm2,graph_to_screen_area_ratio,card_area_cm2,overlap_pairs,min_parent_child_gap_px,information_fields,dimmed_cards,target_in_viewport,target_center_error_ratio,interaction_ms,engine_version,renderer,gpu
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,3,2,121,Optimized Search,121,101,20,1.0,6,0.05940594059406,37,0.36633663366337,0.10000000149012,30289.2424489796,40.4936396376733,559.52612244898,0,242.5,1,100,true,0.00499796051416,152.773,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,3,3,121,Subtree Focus,121,13,20,0.12871287128713,0,0.0,13,1.0,0.10000000149012,11790.9385714286,15.7632868601986,289.76,0,163.0,2,0,false,18.3950903591006,111.343,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,3,4,121,Context Collapse,121,11,20,0.10891089108911,0,0.0,3,0.27272727272727,0.10000000149012,20351.2285714286,27.2075248281131,255.102040816327,0,163.0,2,0,false,-1.0,80.722,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,3,5,121,Baseline,121,101,20,1.0,0,0.0,37,0.36633663366337,0.10000000149012,35579.5444897959,47.566235948925,5783.6,0,60.0,6,0,false,18.4305948442263,332.264,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,3,6,121,Compact Cards,121,101,20,1.0,0,0.0,37,0.36633663366337,0.10000000149012,31716.5681632653,42.4018290952745,2238.10448979592,0,163.0,2,0,false,18.3950903591006,117.934,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,4,1,241,Optimized Search,241,202,39,1.0,6,0.02970297029703,37,0.18316831683168,0.10000000149012,72814.5591836735,97.3456673578522,1122.84081632653,0,242.5,1,201,true,0.00499796051416,369.553,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,4,2,241,Subtree Focus,241,17,39,0.08415841584158,0,0.0,14,0.82352941176471,0.10000000149012,45582.8906632653,60.9396934000873,385.885714285714,0,163.0,2,0,false,-1.0,230.154,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,4,3,241,Context Collapse,241,14,39,0.06930693069307,0,0.0,7,0.5,0.10000000149012,56952.2130612245,76.1393222743643,330.715102040816,0,163.0,2,0,false,-1.0,142.837,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,4,4,241,Baseline,241,202,39,1.0,0,0.0,37,0.18316831683168,0.10000000149012,87050.4,116.377540106952,11564.3771428571,0,60.0,6,0,false,24.7211231465955,690.887,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
2026-08-23_three_displays,BOE0CD1_UID512,\\.\DISPLAY1,BOE,BOE0CD1,65441,34.0,22.0,15.9436667175721,748.0,35.0,1190,770,0,1,4,5,241,Compact Cards,241,202,39,1.0,0,0.0,37,0.18316831683168,0.10000000149012,75560.5730612245,101.01680890538,4491.36326530612,0,163.0,2,0,false,24.684469576798,284.07,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
