pair_id,state,feature_key,feature,screen_key,screen_model,width_cm,height_cm,diagonal_in,screen_area_cm2,logical_units_per_cm,canvas_width,canvas_height,tree_size,tree_path,actor,task_index,target_id,secondary_id,drag_source_id,drag_target_id,resource_nodes,canvas_cards,decorators,graph_canvas_width,graph_canvas_height,operation_zoom,cards_in_viewport,cards_fully_in_viewport,card_visible_area_px2,card_area_px2,overlap_pairs,overlap_area_px2,information_fields,hierarchy_violations,resource_positions_unchanged,topology_unchanged,execution_order_unchanged,smart_overlap_pairs,smart_overlap_area_px2,smart_other_cards_moved,smart_total_other_move_px,smart_max_other_move_px,smart_far_cards_moved,smart_solver_active,smart_resource_positions_unchanged,adaptive_detail_level,adaptive_compact,adaptive_card_area_px2,adaptive_cards_in_viewport,adaptive_cards_fully_in_viewport,adaptive_card_visible_area_px2,adaptive_information_fields,adaptive_overlap_pairs,adaptive_overlap_area_px2,adaptive_hierarchy_violations,overlay_natural_visible_edges,overlay_natural_occluded_edges,overlay_natural_occlusion_events,overlay_natural_occluded_length_px,overlay_natural_occluded_edge_ratio,overlay_natural_occluded_length_ratio,overlay_natural_blocking_cards,overlay_from_id,overlay_to_id,overlay_blocker_id,overlay_crossing_length_px,overlay_background_alpha,overlay_revealed_edge_weighted_px,overlay_line_background_color_gap,overlay_line_background_sample_count,overlay_text_mask_count,overlay_routes_unchanged,related_selected_count,related_expected_count,related_unrelated_count,related_correctly_classified,related_correctly_dimmed,related_mean_alpha,related_unrelated_mean_alpha,related_salience_ratio,related_full_bright_in_view,fisheye_controlled_prerequisite,fisheye_target_width_px,fisheye_baseline_width_px,fisheye_target_fields,fisheye_magnified_cards,fisheye_nonfocus_magnified_cards,fisheye_far_mean_alpha,fisheye_far_mean_scale,fisheye_reflow_cards,fisheye_layout_cards,fisheye_protected_overlap_pairs,fisheye_protected_overlap_area_px2,fisheye_stationary_focus_id,engine,renderer,gpu
laptop_15_94|061|t3|semantic_zoom,off,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.45,10,8,140193.472930908,783520.245914612,15,4009.50186157227,228,25,true,true,true,,,,,,,,,2,false,783520.245914612,10,8,140193.472930908,228,15,4009.50186157227,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|061|t3|semantic_zoom,on,semantic_zoom,Adaptive Zoom Detail,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.45,10,8,58058.1536865234,334391.67671196,0,0.0,111,0,true,true,true,,,,,,,,,0,true,334391.67671196,10,8,58058.1536865234,111,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|061|t3|translucent_cards,off,translucent_cards,Readable Edge Overlay,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.75,7,1,183771.0,2176445.25,13,9976.5,228,23,true,true,true,,,,,,,,,,,,,,,,,,,9,3,3,598.500230788243,0.33333333333333,0.17931697912851,1,3,49,41,199.500345752857,1.0,0.0,0.15197525568911,7,0,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|061|t3|translucent_cards,on,translucent_cards,Readable Edge Overlay,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.75,7,1,183771.0,2176445.25,13,9976.5,228,23,true,true,true,,,,,,,,,,,,,,,,,,,9,3,3,598.500230788243,0.33333333333333,0.17931697912851,1,3,49,41,199.500345752857,0.72,55.8600968108001,0.21752339674943,7,392,true,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|061|t3|breadcrumb,off,breadcrumb,Related Node Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.44999998807907,10,8,140193.472930908,783520.245914612,15,4009.50186157227,228,25,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,40,56,0,1.0,1.0,1.0,10,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|061|t3|breadcrumb,on,breadcrumb,Related Node Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.44999998807907,10,8,140193.472930908,783520.245914612,15,4009.50186157227,228,25,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,40,16,40,1.0,0.18000000715256,5.55555533479762,5,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|061|t3|fisheye,off,fisheye,Fisheye Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.45,10,8,58617.8323364258,334391.67671196,0,0.0,111,0,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,95.8499984741211,95.8499984741211,2,0,0,1.0,1.0,0,0,0,0.0,-1,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|061|t3|fisheye,on,fisheye,Fisheye Focus,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,61,res://behavior_trees/arena_skirmisher_61.tres,Skirmisher,3,49,57,9,10,61,56,5,858.0,642.0,0.45,10,8,110988.307098389,351842.310034638,3,5511.38623046875,117,2,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Zoom Detail,220.0,95.8499984741211,4,3,2,0.12,0.68,0,8,3,5511.38623046875,49,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|121|t1|auto_spacing,off,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,1,32,47,5,6,121,104,17,858.0,642.0,0.75,4,4,184038.75,4088666.25,31,76304.25,432,43,true,true,true,31,76304.25,0,0.0,0.0,0,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
laptop_15_94|121|t1|auto_spacing,on,auto_spacing,Smart Drag Reflow,laptop_15_94,BOE0CD1,34.0,22.0,15.9437,748.0,35.0,1190,770,121,res://behavior_trees/arena_hunter_121.tres,Hunter,1,32,47,5,6,121,104,17,858.0,642.0,0.75,4,3,157029.88671875,4088666.25,0,0.0,432,0,true,true,true,0,0.0,3,435.112483978271,208.537490844727,0,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6-stable (official),gl_compatibility,NVIDIA GeForce RTX 5070 Laptop GPU
